collision_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,casualty_type
2020010280094,1,1,3,2,24,5,3,0
202031D109620,1,1,3,2,95,11,2,0
2020401003715,1,1,3,1,39,7,3,0
2021201086330,1,1,3,1,63,9,3,0
2021371050963,1,1,3,1,51,8,3,0
2022161255871,1,1,3,2,60,9,3,0
2023201345434,1,1,3,1,72,10,3,0
2024041434010,1,1,3,1,39,7,2,0
2020140992628,2,1,1,1,17,4,3,1
202031D139820,2,1,1,1,11,3,3,1
2021361061716,1,1,1,1,21,5,2,1
2023522400767,2,1,1,1,18,4,3,1
2021010304813,2,1,1,2,22,5,2,3
2023010425559,1,1,1,1,21,5,3,3
2024111476642,1,1,1,1,25,5,2,3
202006A271023,2,2,1,1,35,6,3,9
2020410948084,1,4,2,1,4,1,3,9
2020522100278,2,2,1,2,62,9,3,9
202063D009220,2,1,1,1,58,9,2,9
2021010308066,1,1,1,1,61,9,3,9
2021141037232,1,1,1,1,45,7,3,9
2021430036308,1,1,1,1,77,11,2,9
2022052200994,2,1,1,2,77,11,3,9
2022451129608,1,1,1,1,19,4,3,9
2023010468939,1,1,1,1,38,7,3,9
202363C019923,2,2,2,1,23,5,2,9
2021552101224,2,2,2,1,40,7,3,19
2022531177391,1,1,1,1,38,7,3,97
2021010339694,1,1,3,1,61,9,2,0
2022010391542,1,1,3,2,24,5,3,0
2024501516446,1,1,3,1,11,3,3,0
2020160963133,2,1,1,2,41,7,2,1
2020360945017,2,1,1,2,27,6,3,1
2021052100475,2,1,1,2,34,6,2,1
2024010518688,1,1,1,-1,22,5,3,3
2024361490915,1,1,1,1,18,4,2,3
2020010233286,1,1,1,2,55,8,3,9
2020010267867,2,2,1,1,45,7,3,9
2020140969707,1,1,1,2,40,7,2,9
2020160976920,2,2,2,1,6,2,2,9
2020320578910,2,1,2,2,76,11,3,9
2020622000811,1,1,1,1,19,4,3,9
202063A071520,1,1,1,2,70,10,3,9
2022010393628,2,4,1,1,49,8,3,9
2022161247697,1,1,1,1,33,6,3,9
2022991235337,1,1,1,1,23,5,3,9
2023010466693,1,1,1,1,49,8,3,9
2023231307420,1,1,1,2,29,6,3,9
2024041429908,2,1,1,2,71,10,3,9
2021501113086,1,1,1,2,44,7,3,19
2022552200092,1,1,2,1,23,5,3,19
2023010419532,1,1,3,2,57,9,3,0
2024010545826,1,1,3,1,26,6,3,0
2024211506462,1,2,3,2,24,5,3,0
2020410961769,2,1,1,1,32,6,2,1
2020450993480,1,1,1,1,32,6,3,1
2021302100779,2,1,1,1,24,5,2,1
2023070513345,2,1,1,1,11,3,3,1
2022010413482,1,1,1,2,23,5,3,3
202234WNC2412,3,1,1,1,21,5,2,3
2020100966291,2,1,1,1,19,4,3,9
202031A176320,1,1,1,2,77,11,3,9
2020340W05162,1,2,2,1,19,4,3,9
2020450918182,1,1,1,1,70,10,2,9
2020470915446,1,1,1,2,76,11,2,9
2021061074229,1,3,2,1,3,1,3,9
2021451067365,2,3,1,1,71,10,3,9
2021471050079,2,1,1,2,32,6,3,9
2022371218934,2,2,2,2,6,2,3,9
2022411172624,1,1,1,2,32,6,3,9
2022430115961,1,1,1,2,41,7,3,9
2022471150331,2,2,1,2,22,5,3,9
2023131350530,1,1,1,2,28,6,3,9
2023161327529,1,3,2,2,31,6,3,9
2023991386711,3,3,1,1,63,9,3,9
2024070265929,2,1,1,1,38,7,3,9
2024122500006,1,1,1,2,19,4,3,9
2024311524974,2,1,1,1,27,6,3,9
2024440345502,1,1,1,2,31,6,3,9
2024522401156,1,1,1,2,31,6,3,9
2020070596923,1,1,3,2,12,3,3,0
2022041169797,1,1,3,2,81,11,2,0
2023340WN7172,1,1,3,1,65,9,3,0
2023991322161,1,2,3,2,27,6,3,0
2024010504775,2,1,1,2,27,6,3,1
2023991318269,1,1,1,1,43,7,2,4
2020340E06872,1,1,1,1,26,6,3,5
2023451294804,1,1,2,1,60,9,3,5
2023141387220,1,2,2,1,74,10,2,8
2020140929739,2,1,1,1,33,6,3,9
202131C014421,1,1,1,1,25,5,3,9
2021421087741,1,2,2,1,22,5,2,9
2021501135785,1,1,1,1,22,5,3,9
2021991063557,2,3,2,1,31,6,2,9
2022411223856,1,2,2,1,60,9,3,9
2023010480215,1,1,1,1,37,7,3,9
2023221364105,1,1,1,2,64,9,3,9
2023520300754,1,1,1,1,20,4,3,9
2024131416327,1,1,2,1,0,1,3,9
2024430126778,1,1,2,2,31,6,3,9
2024552401275,2,1,2,2,67,10,3,9
2020010230293,3,4,2,2,43,7,3,11
2024131456703,2,1,2,2,0,1,2,11
2021070475730,4,5,2,1,32,6,3,19
2024010507132,1,1,1,1,60,9,3,19
2022320038922,3,1,1,1,62,9,3,21
2024371503743,1,1,1,1,22,5,2,21
2022501173386,1,1,1,1,15,3,2,97
2023421359535,1,1,3,1,58,9,3,0
2024421437834,1,1,3,2,12,3,2,0
2024461410118,1,1,3,1,12,3,2,0
2020360962227,2,1,1,1,68,10,3,1
2020451000073,1,1,1,1,47,8,2,1
2021010306276,1,1,1,2,32,6,3,1
2021552101331,2,1,1,1,22,5,3,1
2023010431668,1,1,1,1,44,7,3,3
2023421359326,1,1,1,1,34,6,3,3
2022031181980,2,1,1,1,39,7,3,5
2020200974010,1,1,2,1,21,5,2,9
2021201114115,1,1,1,1,45,7,3,9
2022010360919,1,1,2,1,45,7,3,9
2022622200735,2,2,1,1,34,6,3,9
2023131322101,1,1,2,2,44,7,3,9
2023546059023,1,2,1,2,37,7,3,9
2024231407632,1,1,1,2,31,6,3,9
2024501474536,1,1,1,1,18,4,3,9
2024052400736,2,4,2,1,44,7,3,9
2024201497012,3,2,1,2,35,6,3,9
2024501533790,1,1,1,2,92,11,2,9
2020201004974,3,3,1,1,67,10,3,9
2020990915361,2,1,1,1,39,7,3,9
2021131052790,2,2,1,1,30,6,3,9
2021320182348,2,1,1,1,57,9,3,9
2021522102643,1,1,1,1,56,9,3,9
2022170M21662,1,1,1,1,24,5,3,9
202234WNC3872,1,2,2,2,18,4,3,9
2022361251451,1,1,1,1,30,6,2,9
2023010450157,2,2,1,2,45,7,3,9
2023031380184,1,1,1,1,41,7,2,9
2023061322262,2,1,1,2,60,9,3,9
2023201371088,3,2,1,2,19,4,3,9
2023320653333,2,1,1,2,61,9,3,9
2021010316830,1,1,1,1,29,6,2,1
2021991079641,1,1,1,1,32,6,2,1
2022010370846,1,1,1,1,29,6,3,1
2023010427128,1,1,1,1,64,9,3,1
2023010438284,1,1,1,1,29,6,2,1
2023320123984,2,1,1,1,33,6,3,1
2024161479224,1,1,1,1,27,6,3,1
2024440222389,2,1,1,1,7,2,3,1
2020160993808,1,1,3,2,29,6,3,0
2020200945692,1,1,3,1,6,2,3,0
2021010318293,1,1,3,1,18,4,2,0
2021545470521,1,1,3,1,13,3,3,0
2023371289627,1,1,3,2,52,8,2,0
2023461266410,2,1,3,2,48,8,3,0
2020100958780,2,1,1,1,36,7,3,1
2023070408475,2,1,1,2,49,8,2,1
2020420960826,1,1,1,1,17,4,2,2
2022010383782,1,1,1,1,48,8,3,3
2022302200706,2,1,1,2,22,5,3,3
2024010529244,1,1,1,1,20,4,3,3
2021221088854,1,1,1,1,22,5,2,5
2020522002478,1,1,1,1,38,7,3,9
2021131035682,3,3,2,2,46,8,3,9
2021461019121,2,1,1,1,34,6,3,9
2022010388342,1,1,1,2,58,9,3,9
2022311210163,1,2,2,2,17,4,3,9
2022471226368,2,1,1,1,50,8,3,9
2023052301485,2,1,1,2,57,9,2,9
2023201366462,1,1,1,1,18,4,3,9
2023201420810,1,1,1,1,51,8,3,9
2024010497037,1,1,1,1,26,6,3,9
2024161493209,2,1,1,2,31,6,3,9
2024451453621,1,2,2,2,42,7,3,9
2021138270688,1,1,3,1,16,4,3,0
2021211079353,2,1,3,2,50,8,3,0
2024451495995,1,1,3,2,28,6,2,0
2021430439867,1,1,1,2,38,7,3,1
2022061166351,2,1,1,1,20,4,3,1
2023010461558,1,1,1,1,35,6,3,1
2020010232067,1,1,1,1,32,6,3,3
2020470954555,1,2,2,2,17,4,2,3
2020450999301,2,1,1,1,57,9,2,5
2021320228399,1,1,1,1,42,7,2,5
2020040972433,2,2,2,2,55,8,3,9
2020500945992,1,1,1,2,73,10,2,9
2021010310555,1,1,1,1,19,4,3,9
2021302101064,1,2,1,2,64,9,3,9
2021440135987,1,1,2,2,6,2,3,9
2021991120273,1,2,2,2,30,6,2,9
2022041222591,2,3,2,1,19,4,3,9
2022991220399,1,3,2,2,23,5,3,9
2023122300976,2,3,2,2,29,6,3,9
2024010494560,1,1,1,1,26,6,3,9
2024461443070,1,1,1,2,25,5,3,9
2024991467339,1,1,1,1,89,11,2,9
2024631493718,1,1,1,1,40,7,3,20
2024010487331,1,1,1,1,58,9,3,90
2020041004603,1,1,3,2,12,3,3,0
2020543209320,1,1,3,1,66,10,3,0
2021201142000,1,1,3,1,61,9,3,0
2022010398632,1,1,3,2,78,11,2,0
2022161141501,1,1,3,1,11,3,2,0
2022430541313,1,1,3,2,22,5,3,0
2022471183786,1,1,3,2,52,8,2,0
2023071007185,1,2,3,1,40,7,3,0
2023141342475,1,1,3,1,13,3,2,0
2020622000758,2,1,1,1,14,3,3,1
2021461031975,2,1,1,1,30,6,2,1
2021991028110,2,1,1,2,34,6,3,1
2022131192603,2,1,1,1,43,7,2,1
2022361278478,1,1,1,1,19,4,3,5
2020052000784,2,2,1,1,48,8,3,9
2020137B30232,2,2,1,1,62,9,3,9
2020332000493,2,1,1,2,54,8,3,9
2020461006713,2,2,2,2,20,4,3,9
2021161069749,2,1,1,1,61,9,2,9
202131B040721,1,2,2,1,26,6,2,9
2021622100764,2,1,1,2,50,8,3,9
2022430281570,1,1,1,2,25,5,3,9
2022471203810,2,1,1,1,34,6,3,9
2024031457172,3,1,1,1,61,9,3,9
2024421474573,2,2,2,1,26,6,3,9
2024430517761,2,2,2,2,22,5,3,9
2024461408640,1,1,1,2,28,6,3,9
2021411083487,2,1,1,2,49,8,3,19
2024411453891,1,1,2,1,30,6,3,19
2022522202195,2,1,1,1,31,6,3,-1
2022010390250,1,1,3,2,53,8,3,0
2022440167135,1,1,3,1,11,3,3,0
2023101354308,1,1,3,2,13,3,3,0
2021991050529,2,1,1,1,15,3,3,1
2023302301006,2,1,1,1,55,8,3,1
2024320180983,2,1,1,1,14,3,3,1
2022522202317,2,1,1,1,55,8,3,3
202134NNC0471,2,1,1,1,17,4,3,4
2021991066931,2,1,1,1,61,9,3,5
2023161350176,2,1,1,1,29,6,3,5
2020137861996,1,3,2,1,32,6,3,9
2021320426017,1,1,1,1,19,4,3,9
2021440361652,2,1,1,1,32,6,3,9
2021451048127,1,1,2,2,15,3,3,9
2021522200969,2,3,2,2,59,9,3,9
2022061149340,1,1,1,2,37,7,2,9
2022461259184,1,1,1,2,57,9,3,9
2022501208933,2,2,2,2,59,9,2,9
2022991202802,2,1,1,1,61,9,3,9
2023201408182,2,1,1,1,71,10,3,9
2023440490567,2,1,1,2,28,6,3,9
2023501273569,2,2,1,1,57,9,3,9
2024041404018,1,1,1,1,72,10,3,9
2024061427364,2,2,2,1,19,4,3,9
2024161524049,3,1,2,2,34,6,3,9
2024401522116,1,4,2,1,21,5,3,9
2024421464345,2,3,2,2,27,6,3,9
2022522204908,2,1,1,1,20,4,3,-1
2024010533138,1,1,3,2,70,10,2,0
2020052000740,2,1,1,1,14,3,3,1
2020990955176,1,1,1,1,16,4,3,1
2022010356633,2,1,1,1,42,7,3,1
2024101492114,2,1,1,1,86,11,3,1
2021622100097,2,2,1,1,32,6,3,3
2022371211635,1,1,1,1,19,4,3,3
2023501309116,1,1,1,1,34,6,3,3
2023010457617,2,1,1,1,16,4,2,4
2020010245972,1,1,2,2,20,4,3,9
2020010248790,2,2,2,2,5,1,3,9
2020010253096,2,1,1,2,84,11,3,9
2020990943173,1,1,1,1,36,7,1,9
2022131231145,1,3,2,2,45,7,3,9
2022440364570,2,1,1,2,27,6,3,9
2023201356356,2,2,1,1,25,5,3,9
2023411316684,1,1,1,1,49,8,3,9
2024041506026,1,1,1,1,53,8,3,9
2024421424002,2,2,1,2,34,6,3,9
2023421320479,1,1,1,1,35,6,3,19
2024361461181,2,2,1,1,52,8,3,21
2024052401682,1,1,2,2,73,10,2,9
2024061528565,1,1,1,2,30,6,3,9
2024131502850,2,1,1,2,47,8,3,9
2024201413751,2,1,1,1,49,8,3,9
2024411476161,1,1,1,2,61,9,3,9
2024461437236,1,1,1,2,65,9,3,9
2020420981227,1,3,2,1,18,4,2,9
2021501091331,2,3,2,1,19,4,3,9
2023010440229,1,1,1,1,25,5,3,9
2023161368277,2,4,2,2,71,10,3,9
2023201402113,1,1,2,2,56,9,3,9
202363A014123,2,1,1,2,51,8,3,9
2024481437407,2,1,1,2,39,7,2,1
2020500964297,1,1,1,1,26,6,3,2
2021010296022,1,1,1,1,28,6,3,3
2021010330313,1,1,1,1,36,7,3,3
2021010341425,2,1,1,1,27,6,3,3
2023411273440,2,1,1,2,41,7,3,3
2023552300077,1,1,1,1,38,7,2,5
2020210925628,1,1,1,1,76,11,2,9
2020400923969,2,2,1,1,57,9,2,9
2020450944898,1,1,1,1,26,6,3,9
2021170S11631,2,2,1,2,65,9,2,9
2021991082196,2,1,2,1,27,6,3,9
2022311168265,2,1,1,2,61,9,3,9
2022461190884,2,2,1,1,43,7,3,9
2023061335553,2,2,2,1,11,3,3,9
2023131352595,2,1,1,1,27,6,3,9
2023320075030,2,2,1,2,73,10,3,9
2023361285020,4,1,1,2,61,9,3,9
2023371392029,1,2,2,2,16,4,3,9
2023461332440,2,2,2,1,1,1,3,9
2022201240370,1,2,2,1,48,8,3,19
2020010255138,1,1,3,1,28,6,3,0
2021522104609,1,1,3,1,4,1,3,0
2020470986004,1,1,1,1,24,5,3,1
2023010482303,1,1,1,1,25,5,3,1
2024302401175,2,1,1,1,36,7,3,1
2020430082269,2,1,1,1,40,7,3,2
2020552000556,2,1,1,1,20,4,3,3
2022010382533,1,3,2,1,16,4,3,8
2021010348586,1,1,1,2,79,11,2,9
2021101059864,1,2,2,1,73,10,3,9
2021351149271,2,2,1,2,54,8,3,9
2021471074741,1,2,2,1,38,7,3,9
2022161162054,1,2,2,2,17,4,3,9
2022547437422,1,1,1,1,41,7,3,9
2023010455463,1,1,2,1,0,1,3,9
2024201511431,1,1,1,2,40,7,3,9
2024201530251,1,3,2,2,29,6,2,9
2024340WN2772,2,1,1,1,55,8,3,9
2024340WN5672,2,2,2,2,37,7,3,9
2024451426826,4,2,1,1,34,6,3,9
2021101048878,1,1,3,1,6,2,2,0
2023070037295,1,1,3,1,15,3,3,0
2023131278898,1,1,3,1,18,4,2,0
